"names","value1"
"shinyjs-delay-d2f200cacba8af1b907773c5c721cbab","10"
"saveState","1"
"yearprac4Summer","1"
"infohealth","0"
"calvesprac3Sale","108"
"saveStateWeb","0"
"cowprac2Sale","103"
"fileName","temp.csv"
"yearprac5Summer","1"
"revenueFromCows","0"
"insChange",""
"applyInsChange","0"
"infocows","0"
"runCode","0"
"shinyjs-delay-289144a2eec8849267f97281e7793daf","10"
"shinyjs-delay-c3923dbde47357940c5c06280bef2bf0","100"
"user.ID","2000000"
"calvesprac2Sale","84"
"infonet","0"
"cowprac1Sale","600"
"shinyjs-delay-e8c839f924dedac328f707491890b025","100"
"cowprac5Sale","16"
"mainPanels","debug"
"herdval","0"
"dprac1adaptExpend","0"
"sellprac1","1"
"code",""
"sellprac2","1"
"shinyjs-delay-4ab94444dcf20b56739a297d36688c62","100"
"sellprac3","1"
"sellprac4","1"
"sellprac5","1"
"dprac4adaptExpend","0"
"shinyjs-delay-3f9a6f06ce674d10037574c28e5f1088","10"
"calvesprac5Sale","14"
"name",""
"calvesprac1Sale","518"
"weanPercentage","0"
"dprac5adaptExpend","0"
"yearprac1Summer","1"
"Precipitation","0"
"dprac2adaptExpend","0"
"cowprac4Sale","0"
"nextBtnprac1","1"
"shinyjs-delay-761ea07228061121a68f14308bbda001","100"
"shinyjs-delay-0a45f3683852599d3294814e81be8bcf","10"
"yearlingdesc","0"
"nextBtnprac2","1"
"dprac3adaptExpend","0"
"calfdesc","0"
"nextBtnprac3","1"
"yearprac2Summer","1"
"nextBtnprac4","1"
"nextBtnprac5","0"
"yearprac1Start","1"
"yearprac3Start","1"
"insContprac1","1"
"calvesprac4Sale","0"
"insContprac2","1"
"infocalves","0"
"insContprac3","1"
"pracStart","1"
"yearprac2Start","1"
"insContprac4","1"
"shinyjs-delay-6f27fb18116df9ceea4fef6a133e7ea1","10"
"yearprac4Start","1"
"insContprac5","1"
"diagDump","0"
"yearprac3Summer","1"
"shinyjs-delay-ce61e8efd26b8d49a9486be24f75f5ec","100"
"reset_button","0"
"cowprac3Sale","123"
"infocash","0"
"herdetails","0"
"yearprac5Start","1"
