"yr","adapt_choice","rev.calf","rev.cow","rev.ins","rev.int","rev.tot","cost.op","cost.ins","cost.adpt","cost.int","cost.tot","profit","taxes","aftax.savings","assets.cow","assets.cash","net.wrth","wn.succ","forage.production","herd","calves.sold","cows.culled","precipWeight.change","Gt","forage.potential","rangeHealth","total.forage","mTurkID"
0,"noadpt",0,0,0,0,0,0,0,0,0,0,0,0,0,510000,90000,6e+05,0.88,1,600,396,102.72,1,0,1,0,1,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
0,"0",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,"2000000"
